Year,Year_Rank,Song,Artist,Genre,Cover,Points,Peak,Weeks
2006,51,Call Me When You're Sober,Evanescence,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1476,10,18
2006,52,So What,Field Mob Featuring Ciara,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1461,10,21
2006,53,Dirty Little Secret,The All-American Rejects,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1459,9,18
2006,54,What You Know,T.I.,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1459,3,20
2006,55,Say Goodbye,Chris Brown,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1442,10,19
2006,56,Rompe,Daddy Yankee,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1415,24,23
2006,57,Show Stopper,Danity Kane,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1406,8,18
2006,58,Get Up,Ciara Featuring Chamillionaire,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1403,7,20
2006,59,Pullin' Me Back,Chingy Featuring Tyrese,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1398,9,20
2006,60,Shake That,Eminem Featuring Nate Dogg,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1396,6,19
2006,61,Chain Hang Low,Jibbs,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1390,7,20
2006,62,Hate Me,Blue October,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1385,31,28
2006,63,Shoulder Lean,Young Dro Featuring T.I.,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1381,10,20
2006,64,Touch It,Busta Rhymes,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1372,16,21
